Date,High,Low,Open,Close,Volume,Adj Close
9/30/2019,48.79600143,47.22200012,48.59999847,48.17399979,29399000,48.17399979
10/1/2019,49.18999863,47.82600021,48.29999924,48.93799973,30813000,48.93799973
10/2/2019,48.93000031,47.88600159,48.65800095,48.62599945,28157000,48.62599945
10/3/2019,46.89599991,44.85599899,46.37200165,46.60599899,75422500,46.60599899
10/4/2019,46.95600128,45.61399841,46.3219986,46.2859993,39975000,46.2859993
10/7/2019,47.7120018,45.70999908,45.95999908,47.54399872,40321000,47.54399872
10/8/2019,48.7879982,46.90000153,47.17399979,48.00999832,43391000,48.00999832
10/9/2019,49.45999908,48.13000107,48.26399994,48.90599823,34472000,48.90599823
10/10/2019,49.85599899,48.31600189,49.05599976,48.94800186,31416500,48.94800186
10/11/2019,50.2159996,49.36199951,49.43000031,49.57799911,42377000,49.57799911
10/14/2019,51.70999908,49.42599869,49.58000183,51.39199829,51025000,51.39199829
10/15/2019,52,50.82400131,51.54000092,51.57799911,32164000,51.57799911
10/16/2019,52.41999817,51.38399887,51.47800064,51.95000076,33420500,51.95000076
10/17/2019,52.95600128,52.0340004,52.5,52.39400101,23846500,52.39400101
10/18/2019,52.56000137,51.02000046,52.13999939,51.38999939,28749000,51.38999939
10/21/2019,51.90000153,50.0359993,51.66600037,50.70000076,25101500,50.70000076
10/22/2019,51.66600037,50.16999817,50.86399841,51.11600113,23004000,51.11600113
10/23/2019,51.22800064,50.27000046,50.90000153,50.93600082,26305500,50.93600082
10/24/2019,60.98600006,57.84000015,59.67399979,59.93600082,148604500,59.93600082
10/25/2019,66,59.22200012,59.54399872,65.62599945,150030500,65.62599945
10/28/2019,68.16799927,64.51999664,65.50800323,65.54199982,94351500,65.54199982
10/29/2019,64.86000061,62.95000076,63.9980011,63.24399948,63421500,63.24399948
10/30/2019,63.75799942,61.99399948,62.59999847,63.0019989,48209000,63.0019989
10/31/2019,63.79999924,62.59999847,62.61999893,62.98400116,25335000,62.98400116
11/1/2019,63.29600143,61.95999908,63.26399994,62.66199875,31919500,62.66199875
11/4/2019,64.38800049,61.85200119,62.95999908,63.49399948,43935000,63.49399948
11/5/2019,64.70200348,63.22399902,63.92399979,63.44400024,34717000,63.44400024
11/6/2019,65.34400177,62.90000153,63.59999847,65.31600189,39704500,65.31600189
11/7/2019,68.30000305,65.60399628,65.82800293,67.10800171,72336500,67.10800171
11/8/2019,67.49199677,66.5,66.90000153,67.4280014,30346000,67.4280014
11/11/2019,69.83799744,68.40000153,68.79000092,69.01799774,49933500,69.01799774
11/12/2019,70.0739975,68.80799866,69.37999725,69.98600006,36797000,69.98600006
11/13/2019,71.26599884,69.03600311,71,69.22200012,42100500,69.22200012
11/14/2019,70.76799774,68.58200073,69.22200012,69.87000275,32324500,69.87000275
11/15/2019,70.55999756,69.67199707,70.12799835,70.43399811,24045000,70.43399811
11/18/2019,70.62999725,69.22000122,70.58399963,69.9980011,22002000,69.9980011
11/19/2019,71.9980011,69.55999756,70.34999847,71.90399933,38624000,71.90399933
11/20/2019,72.23999786,69.91400146,72,70.44400024,33625500,70.44400024
11/21/2019,72.16799927,70.80000305,70.90200043,70.96600342,30550000,70.96600342
11/22/2019,68.19999695,66,68.03199768,66.60800171,84353000,66.60800171
11/25/2019,68.91400146,66.89199829,68.86399841,67.26799774,61697500,67.26799774
11/26/2019,67.09999847,65.41999817,67.05400085,65.78399658,39737000,65.78399658
11/27/2019,66.78600311,65.71399689,66.22399902,66.25800323,27778000,66.25800323
11/29/2019,66.2519989,65.5,66.22200012,65.98799896,12328000,65.98799896
